PLZ4;Raumtyp_Lage_bez
4974;peripher
4975;peripher
4976;peripher
4977;peripher
4980;zentral
4981;peripher
4982;peripher
4983;peripher
4984;peripher
5012;sehr zentral
5016;sehr zentral
5017;sehr zentral
5018;sehr zentral
5022;sehr zentral
5025;sehr zentral
5032;sehr zentral
5035;sehr zentral
5037;sehr zentral
5038;sehr zentral
5066;sehr zentral
5067;sehr zentral
5073;sehr zentral
5076;sehr zentral
5082;sehr zentral
5085;sehr zentral
5093;sehr zentral
5096;sehr zentral
5099;sehr zentral
5106;sehr zentral
5110;sehr zentral
5114;sehr zentral
5137;sehr zentral
5138;sehr zentral
5139;sehr zentral
5142;sehr zentral
5146;sehr zentral
5149;sehr zentral
5150;sehr zentral
5151;sehr zentral
5154;zentral
5157;zentral
5158;zentral
5159;zentral
5164;sehr zentral
5167;sehr zentral
5168;sehr zentral
5170;sehr zentral
5176;sehr zentral
5178;sehr zentral
5206;sehr zentral
5207;sehr zentral
5208;sehr zentral
5213;sehr zentral
5214;sehr zentral
5215;zentral
5222;sehr zentral
5224;sehr zentral
5234;sehr zentral
5235;sehr zentral
5237;sehr zentral
5238;sehr zentral
5239;sehr zentral
5242;sehr zentral
5244;sehr zentral
5245;sehr zentral
5247;sehr zentral
5249;sehr zentral
5251;sehr zentral
5252;sehr zentral
5253;sehr zentral
5311;sehr zentral
5312;sehr zentral
5317;sehr zentral
5322;sehr zentral
5333;sehr zentral
5334;sehr zentral
5335;sehr zentral
5342;zentral
5347;zentral
5348;zentral
5349;zentral
5350;zentral
5351;peripher
5352;peripher
5353;peripher
5354;zentral
5355;zentral
5356;zentral
5357;zentral
5360;sehr zentral
5361;sehr zentral
5363;sehr zentral
5372;sehr zentral
5375;sehr zentral
5377;sehr zentral
5378;zentral
5379;sehr zentral
5380;sehr zentral
5381;sehr zentral
5384;sehr zentral
5385;sehr zentral
5387;sehr zentral
5388;sehr zentral
5389;zentral
5390;zentral
5391;sehr zentral
5392;zentral
5393;zentral
5394;peripher
5429;zentral
5430;zentral
5431;peripher
5432;peripher
5433;peripher
5434;zentral
5441;zentral
5442;peripher
5443;peripher
5444;peripher
5445;peripher
5447;peripher
5448;peripher
5449;peripher
5451;peripher
5452;peripher
5453;peripher
5455;peripher
5456;sehr peripher
5457;peripher
5458;peripher
5459;peripher
5460;peripher
5461;peripher
5463;peripher
5464;peripher
5465;peripher
5466;peripher
5467;sehr peripher
5468;sehr peripher
5511;sehr zentral
5512;sehr zentral
5513;sehr zentral
5521;sehr zentral
5523;sehr zentral
5524;sehr zentral
5525;sehr zentral
5526;sehr zentral
5527;sehr zentral
5528;sehr zentral
5529;sehr zentral
5541;zentral
5542;zentral
5543;peripher
5544;zentral
5545;zentral
5546;peripher
5547;peripher
5548;peripher
5549;peripher
5554;zentral
5555;zentral
5556;peripher
5557;zentral
5558;zentral
5559;zentral
5560;peripher
5561;peripher
5562;peripher
5574;sehr peripher
5575;sehr peripher
5576;peripher
5577;peripher
5606;zentral
5607;zentral
5611;zentral
5613;zentral
5615;zentral
5617;zentral
5618;zentral
5619;zentral
5620;zentral
5621;zentral
5622;zentral
5623;zentral
5624;zentral
5625;peripher
5626;zentral
5627;zentral
5628;peripher
5629;zentral
5630;zentral
5631;zentral
5632;zentral
5633;zentral
5634;peripher
5635;peripher
5636;peripher
5637;peripher
5641;zentral
5642;zentral
5645;peripher
5646;peripher
5647;zentral
5656;zentral
5657;zentral
5658;zentral
5659;zentral
5662;zentral
5663;zentral
5664;zentral
5665;zentral
5672;peripher
5673;zentral
5674;zentral
5675;zentral
5676;peripher
5681;peripher
5682;peripher
5684;sehr peripher
5685;sehr peripher
5686;sehr peripher
5707;zentral
5708;zentral
5722;zentral
5723;zentral
5725;zentral
5727;zentral
5729;zentral
5731;peripher
