"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"376",1054159,"Wittbek",774,0.678942,4,7,2
"377",1054160,"Wittdün auf Amrum",758,0.642798,3,6,2
"378",1054161,"Witzwort",1026,0.678942,4,7,2
"379",1054162,"Wobbenbüll",435,0.678942,4,7,2
"380",1054163,"Wrixum",642,0.642798,3,6,2
"381",1054164,"Wyk auf Föhr, Stadt",4230,0.642798,3,6,2
"382",1054165,"Galmsbüll",625,0.671987,4,7,2
"383",1054166,"Emmelsbüll-Horsbüll",912,0.671987,4,7,2
"384",1054167,"Enge-Sande",1094,0.671987,4,7,2
"385",1054168,"Sylt",13409,0.612199,3,5,2
"386",1055001,"Ahrensbök",8248,0.715448,4,8,2
"387",1055002,"Altenkrempe",1102,0.728101,4,8,2
"388",1055004,"Bad Schwartau, Stadt",19817,0.682816,4,7,2
"389",1055006,"Beschendorf",532,0.731036,4,8,2
"390",1055007,"Bosau",3365,0.718833,4,8,2
"391",1055010,"Dahme",1301,0.761634,5,9,3
"392",1055011,"Damlos",648,0.731036,4,8,2
"393",1055012,"Eutin, Stadt",16781,0.728499,4,8,2
"394",1055014,"Göhl",1147,0.73232,5,9,3
"395",1055015,"Gremersdorf",1461,0.73232,5,9,3
"396",1055016,"Grömitz",6942,0.775992,5,9,3
"397",1055017,"Großenbrode",2138,0.73232,5,9,3
"398",1055018,"Grube",982,0.733409,5,9,3
"399",1055020,"Harmsdorf",667,0.731036,4,8,2
"400",1055021,"Heiligenhafen, Stadt",9139,0.741962,5,9,3
"401",1055022,"Heringsdorf",1091,0.73232,5,9,3
"402",1055023,"Kabelhorst",418,0.731036,4,8,2
"403",1055024,"Kasseedorf",1467,0.728101,4,8,2
"404",1055025,"Kellenhusen (Ostsee)",1019,0.789826,5,9,3
"405",1055027,"Lensahn",4931,0.731036,4,8,2
"406",1055028,"Malente",10453,0.732604,5,9,3
"407",1055029,"Manhagen",368,0.731036,4,8,2
"408",1055031,"Neukirchen",1209,0.73232,5,9,3
"409",1055032,"Neustadt in Holstein, Stadt",15012,0.736382,5,9,3
"410",1055033,"Oldenburg in Holstein, Stadt",9774,0.713245,4,8,2
"411",1055035,"Ratekau",15193,0.702398,4,8,2
"412",1055036,"Riepsdorf",950,0.731036,4,8,2
"413",1055037,"Schashagen",2149,0.728101,4,8,2
"414",1055038,"Schönwalde am Bungsberg",2543,0.728101,4,8,2
"415",1055039,"Sierksdorf",1590,0.728101,4,8,2
"416",1055040,"Stockelsdorf",16554,0.679531,4,7,2
"417",1055041,"Süsel",5191,0.726224,4,8,2
"418",1055042,"Timmendorfer Strand",8792,0.727662,4,8,2
"419",1055043,"Wangels",2187,0.73232,5,9,3
"420",1055044,"Scharbeutz",10784,0.727869,4,8,2
"421",1055046,"Fehmarn, Stadt",12410,0.708646,4,8,2
"422",1056001,"Appen",4830,0.499067,2,3,2
"423",1056002,"Barmstedt, Stadt",10108,0.530669,2,3,2
"424",1056003,"Bevern",605,0.488868,2,3,2
"425",1056004,"Bilsen",752,0.488868,2,3,2
"426",1056005,"Bönningstedt",4466,0.461992,1,2,1
"427",1056006,"Bokel",629,0.512001,2,3,2
"428",1056008,"Bokholt-Hanredder",1224,0.488868,2,3,2
"429",1056009,"Borstel-Hohenraden",2320,0.476039,1,2,1
