"";"JAHR";"PLZ3";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"569";1998;843;0,25449;97528;2;4;2
"570";1998;844;0,148056;125276;1;2;1
"571";1998;845;0,162096;129642;1;2;1
"572";1998;850;0,124981;205722;1;2;1
"573";1998;851;0,154272;73383;1;2;1
"574";1998;852;0,137944;184389;1;2;1
"575";1998;853;0,039474;142443;1;1;1
"576";1998;854;0,106299;117124;1;1;1
"577";1998;855;0,075218;142658;1;1;1
"578";1998;856;0,101254;130847;1;1;1
"579";1998;857;0,080496;118335;1;1;1
"580";1998;861;0,329973;286311;3;5;2
"581";1998;863;0,08754;143716;1;1;1
"582";1998;864;0,093438;141841;1;1;1
"583";1998;865;0,117314;109926;1;2;1
"584";1998;866;0,090377;165421;1;1;1
"585";1998;867;0,115662;62291;1;1;1
"586";1998;868;0,144244;138807;1;2;1
"587";1998;869;0,163005;115787;1;2;1
"588";1998;874;0,231129;153724;2;3;2
"589";1998;875;0,226204;79988;2;3;2
"590";1998;876;0,172019;143143;1;2;1
"591";1998;877;0,147464;146020;1;2;1
"592";1998;880;0,155485;126417;1;2;1
"593";1998;881;0,196751;82070;2;3;2
"594";1998;882;0,227647;187137;2;3;2
"595";1998;883;0,244311;104469;2;4;2
"596";1998;884;0,142097;192640;1;2;1
"597";1998;885;0,204787;34734;2;3;2
"598";1998;886;0,221467;109215;2;3;2
"599";1998;887;0,222591;9890;2;3;2
"600";1998;890;0,203106;121063;2;3;2
"601";1998;891;0,090714;129451;1;1;1
"602";1998;892;0,032561;170493;1;1;1
"603";1998;893;0,06745;86689;1;1;1
"604";1998;894;0;68580;1;1;1
"605";1998;895;0,143466;162182;1;2;1
"606";1998;896;0,108748;25303;1;1;1
"607";1998;904;0,246362;506913;2;4;2
"608";1998;905;0,105594;235295;1;1;1
"609";1998;906;0,141104;26155;1;2;1
"610";1998;907;0,210373;124430;2;3;2
"611";1998;910;0,131191;195888;1;2;1
"612";1998;911;0,107889;134820;1;1;1
"613";1998;912;0,144642;129157;1;2;1
"614";1998;913;0,150125;132898;1;2;1
"615";1998;914;0,180078;82028;1;2;1
"616";1998;915;0,137179;148457;1;2;1
"617";1998;916;0,114642;50550;1;1;1
"618";1998;917;0,156904;116229;1;2;1
"619";1998;918;0,189193;9892;2;3;2
"620";1998;922;0,224637;141467;2;3;2
"621";1998;923;0,155659;130241;1;2;1
