"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"260",8127073,"Satteldorf",5251,0.560542,5,9,3
"261",8127075,"Schrozberg, Stadt",5669,0.576643,5,9,3
"262",8127076,"Schwäbisch Hall, Stadt",37952,0.546626,4,8,2
"263",8127079,"Sulzbach-Laufen",2514,0.542971,4,8,2
"264",8127086,"Untermünkheim",2887,0.536141,4,8,2
"265",8127089,"Vellberg, Stadt",4307,0.549709,4,8,2
"266",8127091,"Wallhausen",3564,0.574094,5,9,3
"267",8127099,"Wolpertshausen",2066,0.549709,4,8,2
"268",8127100,"Rosengarten",5067,0.546626,4,8,2
"269",8127101,"Kreßberg",3871,0.577767,5,9,3
"270",8127102,"Fichtenau",4543,0.577767,5,9,3
"271",8127103,"Frankenhardt",4795,0.560542,5,9,3
"272",8127104,"Stimpfach",2991,0.560542,5,9,3
"273",8128006,"Assamstadt",2200,0.552183,5,9,3
"274",8128007,"Bad Mergentheim, Stadt",22763,0.552183,5,9,3
"275",8128014,"Boxberg, Stadt",6533,0.546364,4,8,2
"276",8128020,"Creglingen, Stadt",4708,0.563071,5,9,3
"277",8128039,"Freudenberg, Stadt",3760,0.534149,4,8,2
"278",8128045,"Großrinderfeld",3953,0.54199,4,8,2
"279",8128047,"Grünsfeld, Stadt",3626,0.543945,4,8,2
"280",8128058,"Igersheim",5496,0.552183,5,9,3
"281",8128061,"Königheim",3041,0.54199,4,8,2
"282",8128064,"Külsheim, Stadt",5234,0.54848,4,8,2
"283",8128082,"Niederstetten, Stadt",4868,0.557977,5,9,3
"284",8128115,"Tauberbischofsheim, Stadt",12832,0.54199,4,8,2
"285",8128126,"Weikersheim, Stadt",7288,0.553305,5,9,3
"286",8128128,"Werbach",3276,0.54199,4,8,2
"287",8128131,"Wertheim, Stadt",22461,0.556353,5,9,3
"288",8128137,"Wittighausen",1641,0.543945,4,8,2
"289",8128138,"Ahorn",2176,0.546364,4,8,2
"290",8128139,"Lauda-Königshofen, Stadt",14443,0.564187,5,9,3
"291",8135010,"Dischingen",4361,0.455585,2,4,2
"292",8135015,"Gerstetten",11601,0.442399,2,3,2
"293",8135016,"Giengen an der Brenz, Stadt",19135,0.468726,3,5,2
"294",8135019,"Heidenheim an der Brenz, Stadt",47164,0.465211,2,4,2
