"","Gemeindekennziffer","Name der Gemeinde","Bevölkerung","GISD_Score","GISD_5","GISD_10","GISD_k"
"1393",9577140,"Heidenheim, Markt",2561,0.604807,5,9,3
"1394",9577141,"Höttingen",1122,0.574269,4,8,2
"1395",9577148,"Langenaltheim",2222,0.586628,4,8,2
"1396",9577149,"Markt Berolzheim, Markt",1269,0.584775,4,8,2
"1397",9577150,"Meinheim",829,0.584775,4,8,2
"1398",9577151,"Nennslingen, Markt",1395,0.572098,4,8,2
"1399",9577158,"Pappenheim, Stadt",3971,0.604102,5,9,3
"1400",9577159,"Pfofeld",1490,0.590385,5,9,3
"1401",9577161,"Pleinfeld, Markt",7443,0.571749,4,8,2
"1402",9577162,"Polsingen",1854,0.618838,5,9,3
"1403",9577163,"Raitenbuch",1192,0.572098,4,8,2
"1404",9577168,"Solnhofen",1693,0.597058,5,9,3
"1405",9577172,"Theilenhofen",1128,0.590385,5,9,3
"1406",9577173,"Treuchtlingen, Stadt",12566,0.601834,5,9,3
"1407",9577177,"Weißenburg i.Bay., GKSt",17807,0.57856,4,8,2
"1408",9577179,"Westheim",1155,0.604807,5,9,3
"1409",9661000,"Aschaffenburg",68167,0.47632,3,5,2
"1410",9662000,"Schweinfurt",51610,0.528611,3,6,2
"1411",9663000,"Würzburg",124219,0.402659,1,2,1
"1412",9671111,"Alzenau, Stadt",18860,0.427817,1,2,1
"1413",9671112,"Bessenbach",5765,0.428727,1,2,1
"1414",9671113,"Blankenbach",1519,0.457142,2,4,2
"1415",9671114,"Karlstein a.Main",7956,0.41951,1,2,1
"1416",9671119,"Geiselbach",2021,0.436428,2,3,2
"1417",9671120,"Glattbach",3281,0.429906,1,2,1
"1418",9671121,"Goldbach, Markt",9722,0.435622,2,3,2
"1419",9671122,"Großostheim, Markt",16401,0.447879,2,3,2
"1420",9671124,"Haibach",8342,0.422333,1,2,1
"1421",9671126,"Heigenbrücken",2233,0.473275,2,4,2
"1422",9671127,"Heimbuchenthal",2180,0.475905,3,5,2
"1423",9671128,"Heinrichsthal",842,0.473275,2,4,2
"1424",9671130,"Hösbach, Markt",13109,0.43938,2,3,2
"1425",9671133,"Johannesberg",3909,0.440646,2,3,2
"1426",9671134,"Kahl a.Main",7481,0.439105,2,3,2
"1427",9671135,"Kleinkahl",1806,0.457142,2,4,2
"1428",9671136,"Kleinostheim",8146,0.449877,2,3,2
"1429",9671138,"Krombach",2159,0.457142,2,4,2
"1430",9671139,"Laufach",5171,0.449892,2,3,2
"1431",9671140,"Mainaschaff",8689,0.463598,2,4,2
"1432",9671141,"Mespelbrunn",2173,0.475905,3,5,2
"1433",9671143,"Mömbris, Markt",11714,0.43545,2,3,2
"1434",9671148,"Rothenbuch",1744,0.426674,1,2,1
"1435",9671150,"Sailauf",3584,0.437979,2,3,2
"1436",9671152,"Schöllkrippen, Markt",4136,0.457142,2,4,2
"1437",9671153,"Sommerkahl",1137,0.457142,2,4,2
"1438",9671155,"Stockstadt a.Main, Markt",7855,0.462466,2,4,2
"1439",9671156,"Waldaschaff",4032,0.448229,2,3,2
"1440",9671157,"Weibersbrunn",1988,0.436443,2,3,2
"1441",9671159,"Westerngrund",1913,0.457142,2,4,2
"1442",9671160,"Dammbach",1862,0.475905,3,5,2
"1443",9671162,"Wiesen",1046,0.457142,2,4,2
"1444",9672111,"Aura a.d.Saale",887,0.587995,4,8,2
"1445",9672112,"Bad Bocklet, Markt",4550,0.588396,4,8,2
"1446",9672113,"Bad Brückenau, Stadt",6523,0.63125,5,10,3
"1447",9672114,"Bad Kissingen, GKSt",21323,0.61201,5,9,3
"1448",9672117,"Burkardroth, Markt",7546,0.591215,5,9,3
"1449",9672121,"Elfershausen, Markt",2828,0.584854,4,8,2
"1450",9672122,"Euerdorf, Markt",1541,0.587995,4,8,2
"1451",9672124,"Fuchsstadt",1860,0.584854,4,8,2
"1452",9672126,"Geroda, Markt",870,0.588745,4,8,2
"1453",9672127,"Hammelburg, Stadt",11142,0.609682,5,9,3
"1454",9672131,"Maßbach, Markt",4455,0.569977,4,8,2
"1455",9672134,"Motten",1738,0.570382,4,8,2
"1456",9672135,"Münnerstadt, Stadt",7633,0.592361,5,9,3
"1457",9672136,"Nüdlingen",3964,0.568214,4,7,2
